Degree,Major,CGPA,Employed,Experience,Skills,Certifications,Industry Preference,Job Role
M.Sc,Economics,6.44,yes,10,"Python, Econometrics, Data Analysis, R, Statistics",Data Science Certificate,Education,Economist
M.Tech,Economics,7.48,no,6,"Econometrics, Statistics, R, Python, Data Analysis",AWS Certified,Finance,Economist
B.Tech,Finance,5.64,no,4,"Accounting, Risk Analysis, SQL",None,Education,Investment Banker
MBA,Electrical,5.46,yes,0,"MATLAB, C, Embedded Systems",None,Education,Electronics Engineer
B.Sc,Economics,7.18,yes,8,"Python, Statistics",PMP,IT,Economist
B.Sc,Economics,9.93,no,1,"Econometrics, Python, R, Data Analysis",None,Manufacturing,Economist
MBA,Computer Science,9.28,yes,3,"SQL, Java",Six Sigma,Education,Backend Developer
M.Tech,Mechanical,9.41,yes,6,"MATLAB, SolidWorks, AutoCAD, Thermodynamics",None,Research,Design Engineer
MBA,Electrical,6.82,no,3,"Embedded Systems, MATLAB, Circuit Design, C",Six Sigma,Manufacturing,Electrical Engineer
MBA,Finance,6.38,no,5,"Financial Modeling, SQL",Six Sigma,Manufacturing,Accountant
B.Tech,Economics,9.82,no,7,"Data Analysis, Python, Statistics, R, Econometrics",AWS Certified,Manufacturing,Data Analyst
M.Sc,Electrical,8.19,yes,0,"C, VHDL, Circuit Design, Embedded Systems",PMP,Research,Electronics Engineer
M.Tech,Computer Science,5.7,no,5,"C++, Machine Learning, SQL",None,Research,Software Engineer
B.Sc,Computer Science,5.42,no,4,"SQL, Machine Learning",AWS Certified,IT,Software Engineer
B.Tech,Mechanical,5.19,no,10,"MATLAB, AutoCAD",None,Manufacturing,Manufacturing Engineer
M.Tech,Finance,7.39,no,1,"Financial Modeling, SQL, Excel, Risk Analysis",PMP,Finance,Investment Banker
B.Tech,Finance,8.83,yes,5,"Risk Analysis, Financial Modeling",AWS Certified,Research,Financial Analyst
B.Sc,Computer Science,8.59,no,6,"Java, SQL",Six Sigma,Manufacturing,Software Engineer
B.Tech,Computer Science,5.21,yes,0,"C++, SQL, Java, Python",None,Research,Data Scientist
B.Sc,Finance,8.88,no,3,"Excel, Accounting, Financial Modeling, SQL",AWS Certified,Education,Investment Banker
M.Sc,Economics,7.47,no,8,"Econometrics, Statistics",AWS Certified,IT,Economist
M.Sc,Mechanical,9.31,yes,9,"AutoCAD, SolidWorks",PMP,IT,Design Engineer
MBA,Economics,9.58,no,3,"Python, Data Analysis, Econometrics, Statistics, R",AWS Certified,Research,Data Analyst
M.Tech,Finance,6.04,yes,3,"Accounting, Excel, Financial Modeling, Risk Analysis",AWS Certified,Research,Investment Banker
B.Sc,Economics,8.42,no,5,"Econometrics, R, Data Analysis, Statistics",Data Science Certificate,IT,Data Analyst
M.Tech,Electrical,9.59,yes,1,"MATLAB, VHDL",Data Science Certificate,IT,Electrical Engineer
M.Tech,Electrical,8.79,no,5,"MATLAB, Embedded Systems, VHDL, C",AWS Certified,Research,Embedded Systems Engineer
B.Tech,Mechanical,9.77,yes,6,"Thermodynamics, AutoCAD, SolidWorks, MATLAB",PMP,Finance,Design Engineer
M.Sc,Finance,5.78,no,7,"Risk Analysis, Excel, SQL, Financial Modeling, Accounting",Data Science Certificate,Research,Accountant
M.Sc,Computer Science,7.46,yes,7,"Machine Learning, Python, C++, SQL, Java",Data Science Certificate,IT,Backend Developer
M.Sc,Economics,7.55,no,6,"Statistics, Python, Econometrics, Data Analysis, R",AWS Certified,IT,Business Analyst
MBA,Finance,7.76,yes,2,"Risk Analysis, Accounting, SQL",PMP,Manufacturing,Financial Analyst
M.Sc,Electrical,8.63,no,2,"Embedded Systems, C",Six Sigma,Education,Electronics Engineer
M.Tech,Electrical,8.12,no,0,"C, Circuit Design, VHDL",Six Sigma,Manufacturing,Electronics Engineer
MBA,Mechanical,5.53,no,3,"MATLAB, Thermodynamics, AutoCAD, SolidWorks",AWS Certified,Manufacturing,Mechanical Engineer
MBA,Mechanical,7.2,no,0,"MATLAB, Thermodynamics, AutoCAD",PMP,Manufacturing,Mechanical Engineer
M.Sc,Finance,9.51,yes,7,"Financial Modeling, Risk Analysis, SQL",None,Education,Financial Analyst
B.Tech,Electrical,8.7,no,7,"Embedded Systems, C, Circuit Design, MATLAB",Data Science Certificate,Finance,Electronics Engineer
M.Tech,Finance,5.22,yes,5,"Accounting, Excel, Risk Analysis, Financial Modeling, SQL",PMP,Research,Financial Analyst
B.Sc,Computer Science,8.76,yes,5,"Python, C++, SQL, Machine Learning, Java",None,IT,Backend Developer
B.Sc,Economics,8.39,yes,10,"Data Analysis, Statistics",PMP,IT,Data Analyst
MBA,Finance,9.42,yes,4,"Financial Modeling, Excel, Accounting, Risk Analysis, SQL",Six Sigma,Education,Investment Banker
MBA,Finance,8.99,yes,0,"Accounting, Financial Modeling, Excel",Data Science Certificate,Manufacturing,Investment Banker
B.Sc,Electrical,8.29,no,3,"C, MATLAB, VHDL",Six Sigma,Education,Electronics Engineer
B.Tech,Electrical,8.98,no,0,"MATLAB, VHDL, C, Circuit Design, Embedded Systems",AWS Certified,Education,Embedded Systems Engineer
MBA,Finance,6.9,no,6,"SQL, Financial Modeling, Accounting, Risk Analysis, Excel",Six Sigma,Finance,Financial Analyst
B.Tech,Mechanical,8.67,no,3,"Thermodynamics, SolidWorks",AWS Certified,Manufacturing,Manufacturing Engineer
B.Sc,Electrical,7.37,no,5,"VHDL, C, MATLAB, Circuit Design",AWS Certified,Education,Electrical Engineer
M.Tech,Mechanical,7.44,yes,4,"MATLAB, Thermodynamics, AutoCAD",PMP,Research,Mechanical Engineer
MBA,Economics,6.87,no,4,"Python, Data Analysis, Econometrics, Statistics, R",Six Sigma,Education,Economist
M.Sc,Economics,6.96,no,8,"R, Statistics",Six Sigma,Finance,Data Analyst
M.Sc,Finance,6.73,no,2,"Risk Analysis, Financial Modeling, SQL, Accounting",Six Sigma,Manufacturing,Investment Banker
M.Tech,Finance,8.47,no,1,"SQL, Excel, Risk Analysis, Accounting",PMP,Research,Financial Analyst
B.Tech,Finance,7.03,no,7,"Excel, SQL, Risk Analysis, Accounting",None,Research,Investment Banker
M.Sc,Electrical,7.07,no,8,"MATLAB, Circuit Design, VHDL, Embedded Systems, C",PMP,IT,Electrical Engineer
B.Sc,Economics,8.69,no,5,"Econometrics, R, Data Analysis",Six Sigma,Education,Business Analyst
M.Tech,Economics,5.99,yes,1,"Statistics, Econometrics",AWS Certified,Manufacturing,Data Analyst
B.Sc,Electrical,7.48,yes,5,"Circuit Design, MATLAB, Embedded Systems, C",PMP,Research,Electrical Engineer
B.Sc,Computer Science,7.5,no,4,"Machine Learning, Java, C++, SQL, Python",None,Finance,Backend Developer
MBA,Economics,7.0,yes,3,"Python, Econometrics",AWS Certified,IT,Data Analyst
B.Sc,Mechanical,6.8,yes,7,"SolidWorks, Thermodynamics, MATLAB, AutoCAD",Six Sigma,Manufacturing,Manufacturing Engineer
B.Sc,Mechanical,8.9,yes,3,"SolidWorks, MATLAB, AutoCAD, Thermodynamics",Data Science Certificate,Research,Design Engineer
B.Sc,Computer Science,9.98,no,7,"Python, SQL, Java, Machine Learning, C++",Six Sigma,Research,Software Engineer
MBA,Finance,6.34,no,0,"Accounting, Financial Modeling",PMP,IT,Investment Banker
MBA,Finance,5.93,yes,6,"Accounting, Excel, Financial Modeling",AWS Certified,Finance,Financial Analyst
MBA,Finance,5.27,yes,10,"Financial Modeling, Accounting, Risk Analysis",AWS Certified,Research,Financial Analyst
B.Tech,Economics,6.29,no,1,"Econometrics, Statistics, Python",Six Sigma,Research,Data Analyst
B.Tech,Mechanical,7.62,no,10,"Thermodynamics, SolidWorks, AutoCAD",PMP,Finance,Manufacturing Engineer
M.Tech,Computer Science,6.48,yes,10,"SQL, Java, C++",Six Sigma,Manufacturing,Backend Developer
B.Tech,Electrical,5.3,no,9,"VHDL, Embedded Systems, Circuit Design",Data Science Certificate,IT,Electrical Engineer
B.Sc,Mechanical,7.6,yes,1,"SolidWorks, Thermodynamics, AutoCAD, MATLAB",PMP,IT,Manufacturing Engineer
M.Sc,Finance,5.81,no,10,"Excel, Financial Modeling",None,Education,Investment Banker
M.Tech,Economics,7.23,yes,9,"Python, Statistics, R, Data Analysis, Econometrics",Data Science Certificate,Education,Economist
M.Sc,Economics,9.81,yes,0,"Python, R, Econometrics, Statistics",PMP,Finance,Business Analyst
M.Sc,Computer Science,9.57,yes,5,"Python, Machine Learning",AWS Certified,Education,Data Scientist
B.Sc,Mechanical,9.4,yes,6,"Thermodynamics, SolidWorks, MATLAB, AutoCAD",AWS Certified,Education,Mechanical Engineer
M.Sc,Mechanical,6.09,no,10,"AutoCAD, MATLAB, Thermodynamics",Six Sigma,Manufacturing,Design Engineer
B.Tech,Mechanical,9.12,no,8,"MATLAB, SolidWorks, Thermodynamics, AutoCAD",None,Manufacturing,Manufacturing Engineer
M.Tech,Economics,5.57,yes,4,"Econometrics, Statistics, Python, R, Data Analysis",Six Sigma,IT,Business Analyst
M.Sc,Finance,6.34,no,10,"Risk Analysis, Financial Modeling, SQL, Accounting, Excel",Data Science Certificate,Education,Accountant
B.Tech,Economics,5.83,no,3,"Statistics, R, Python",AWS Certified,Finance,Data Analyst
MBA,Mechanical,9.26,yes,9,"AutoCAD, MATLAB, SolidWorks, Thermodynamics",AWS Certified,Finance,Design Engineer
B.Sc,Mechanical,6.39,no,2,"AutoCAD, SolidWorks, MATLAB",Data Science Certificate,Education,Mechanical Engineer
M.Tech,Computer Science,6.43,no,4,"C++, SQL, Java",AWS Certified,Manufacturing,Backend Developer
M.Sc,Computer Science,7.54,yes,8,"Java, Python, SQL",None,Education,Software Engineer
B.Sc,Computer Science,7.47,yes,1,"Java, Python, SQL, C++, Machine Learning",None,Manufacturing,Software Engineer
B.Sc,Finance,5.86,yes,9,"SQL, Excel, Financial Modeling, Risk Analysis, Accounting",None,Education,Financial Analyst
B.Sc,Electrical,9.67,yes,3,"Embedded Systems, MATLAB, Circuit Design, VHDL",Six Sigma,Manufacturing,Electrical Engineer
B.Tech,Economics,6.08,yes,7,"Python, R, Data Analysis, Statistics, Econometrics",None,Finance,Data Analyst
M.Tech,Mechanical,6.8,yes,7,"Thermodynamics, SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Finance,Design Engineer
B.Tech,Electrical,5.36,yes,8,"Circuit Design, Embedded Systems, VHDL, C",PMP,Finance,Embedded Systems Engineer
B.Tech,Computer Science,5.82,no,4,"Machine Learning, C++, Python, SQL",Data Science Certificate,IT,Software Engineer
M.Tech,Finance,8.15,no,8,"Excel, Financial Modeling, SQL",Six Sigma,Manufacturing,Financial Analyst
B.Sc,Finance,7.69,yes,7,"Excel, Risk Analysis",None,Manufacturing,Investment Banker
MBA,Finance,7.61,no,2,"Excel, Risk Analysis, Accounting, Financial Modeling, SQL",Six Sigma,Education,Investment Banker
B.Sc,Electrical,6.0,yes,8,"Embedded Systems, VHDL, C",Six Sigma,Research,Electronics Engineer
M.Sc,Finance,6.61,yes,8,"Financial Modeling, SQL",PMP,IT,Financial Analyst
B.Tech,Electrical,8.29,no,1,"C, Embedded Systems, Circuit Design",AWS Certified,Education,Electronics Engineer
M.Sc,Computer Science,7.39,no,5,"Machine Learning, SQL, C++",PMP,Education,Backend Developer
MBA,Finance,6.54,no,9,"Accounting, SQL, Excel, Financial Modeling, Risk Analysis",AWS Certified,IT,Investment Banker
B.Sc,Computer Science,7.16,yes,4,"Machine Learning, C++, SQL",PMP,Education,Data Scientist
M.Sc,Economics,6.88,no,0,"Python, Statistics, Econometrics",PMP,Research,Economist
B.Tech,Economics,9.64,no,6,"Python, R, Econometrics",None,Finance,Economist
MBA,Electrical,8.02,no,6,"C, Circuit Design, VHDL, MATLAB, Embedded Systems",PMP,Research,Embedded Systems Engineer
MBA,Electrical,9.75,yes,4,"C, Circuit Design, VHDL, MATLAB",Six Sigma,Research,Embedded Systems Engineer
MBA,Computer Science,8.25,yes,10,"SQL, Java, C++",Six Sigma,Finance,Data Scientist
M.Tech,Mechanical,6.51,yes,9,"MATLAB, Thermodynamics",Six Sigma,Manufacturing,Design Engineer
B.Sc,Finance,7.09,yes,10,"Financial Modeling, Accounting, Risk Analysis, Excel, SQL",Data Science Certificate,Education,Financial Analyst
MBA,Computer Science,5.05,no,5,"Machine Learning, Python",PMP,Research,Data Scientist
B.Tech,Finance,7.95,no,8,"Financial Modeling, Excel, Risk Analysis, Accounting, SQL",Six Sigma,Finance,Financial Analyst
MBA,Mechanical,7.08,no,9,"SolidWorks, MATLAB, Thermodynamics, AutoCAD",None,Manufacturing,Manufacturing Engineer
M.Sc,Computer Science,6.08,no,2,"Java, Machine Learning, C++, Python",Six Sigma,Research,Backend Developer
B.Sc,Electrical,5.02,yes,7,"Circuit Design, C, MATLAB",Data Science Certificate,Manufacturing,Embedded Systems Engineer
M.Sc,Electrical,7.13,yes,10,"MATLAB, C, Circuit Design, Embedded Systems, VHDL",PMP,Manufacturing,Electronics Engineer
MBA,Mechanical,5.54,yes,7,"Thermodynamics, AutoCAD, MATLAB",Six Sigma,Finance,Manufacturing Engineer
MBA,Mechanical,6.29,no,0,"Thermodynamics, SolidWorks, MATLAB",PMP,Finance,Design Engineer
B.Sc,Computer Science,9.44,yes,8,"SQL, Python, Machine Learning",None,Research,Software Engineer
M.Sc,Mechanical,7.17,no,2,"Thermodynamics, SolidWorks, MATLAB",Six Sigma,Finance,Mechanical Engineer
MBA,Mechanical,8.64,yes,4,"SolidWorks, AutoCAD",Data Science Certificate,Finance,Manufacturing Engineer
MBA,Economics,8.55,no,7,"Data Analysis, Python, Econometrics",None,Manufacturing,Data Analyst
B.Sc,Finance,6.03,no,0,"Financial Modeling, Risk Analysis, Accounting, Excel, SQL",Six Sigma,Finance,Accountant
M.Tech,Finance,7.04,yes,9,"Risk Analysis, SQL, Excel",Data Science Certificate,Finance,Financial Analyst
B.Tech,Finance,8.69,no,9,"Accounting, Financial Modeling, Risk Analysis",Six Sigma,Research,Financial Analyst
M.Sc,Computer Science,8.55,no,5,"C++, Python, Java, SQL, Machine Learning",Data Science Certificate,Finance,Software Engineer
M.Sc,Economics,7.21,no,10,"Python, Statistics, R",Six Sigma,Education,Business Analyst
B.Sc,Economics,9.25,yes,7,"Data Analysis, R, Python, Statistics",AWS Certified,Research,Economist
M.Sc,Finance,8.12,no,9,"Risk Analysis, Financial Modeling, Excel",None,Education,Accountant
M.Tech,Electrical,7.66,yes,5,"Embedded Systems, Circuit Design, MATLAB, VHDL, C",Six Sigma,IT,Embedded Systems Engineer
B.Sc,Electrical,6.93,yes,1,"C, MATLAB",Data Science Certificate,Education,Electrical Engineer
B.Tech,Computer Science,9.12,no,8,"SQL, Java, Machine Learning, C++, Python",None,Manufacturing,Software Engineer
M.Sc,Mechanical,9.95,no,0,"Thermodynamics, SolidWorks",AWS Certified,Manufacturing,Manufacturing Engineer
MBA,Mechanical,7.73,yes,8,"SolidWorks, Thermodynamics, AutoCAD, MATLAB",AWS Certified,Research,Manufacturing Engineer
M.Tech,Mechanical,9.22,yes,10,"AutoCAD, MATLAB",AWS Certified,Education,Mechanical Engineer
M.Sc,Economics,6.89,no,2,"Python, Data Analysis, R",Data Science Certificate,Finance,Data Analyst
MBA,Finance,5.47,no,1,"Accounting, Excel",PMP,Education,Financial Analyst
B.Sc,Mechanical,7.29,yes,10,"Thermodynamics, SolidWorks, MATLAB",None,IT,Mechanical Engineer
M.Sc,Mechanical,8.91,no,4,"SolidWorks, MATLAB, AutoCAD",PMP,Research,Mechanical Engineer
M.Tech,Mechanical,5.34,no,9,"Thermodynamics, SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Research,Manufacturing Engineer
B.Tech,Finance,5.19,no,5,"Risk Analysis, Financial Modeling, Excel, Accounting",PMP,Manufacturing,Financial Analyst
